Geometric Network Information	netinfo			
Network Type	nettype	S		E,F
Connectivity Rule	connrule			
Rule Type	ruletype	S		E,F
Rule Category	rulecat	S		E,F
Rule Help	rulehelp	S		E,F
From Edge Feature Class	rulefeid	S		E,F
From Edge Subtype	rulefest	S		E,F
To Edge Feature Class	ruleteid	S		E,F
To Edge Subtype	ruletest	S		E,F
Default Junction Feature Class	ruledjid	S		E,F
Default Junction Subtype	ruledjst	S		E,F
Available Junction	rulejunc			
Available Junction Feature Class	junctid	S		E,F
Available Junction Subtype	junctst	S		E,F
Edge Feature Class	ruleeid	S		E,F
Edge Subtype	ruleest	S		E,F
Edge Minimum Cardinality	ruleemnc	S		E,F
Edge Maximum Cardinality	ruleemxc	S		E,F
Junction Feature Class	rulejid	S		E,F
Junction Subtype	rulejst	S		E,F
Junction Minimum Cardinality	rulejmnc	S		E,F
Junction Maximum Cardinality	rulejmxc	S		E,F
Network Element	elemcls			
Ancillary Role	roletype	S		F
Ancillary Role Attribute	rolefld	S		F
Enabled Attribute	enabfld	S		F
				
Spatial Reference Information	spref			
Horizontal Coordinate System Definition	horizsys			
Coordinate System Name	cordsysn			
Projected Coordinate System Name	projcsn	S	Y	E,F
Geographic Coordinate System Name	geogcsn	S	Y	E,F
Geographic	geograph			G
Latitude Resolution	latres	S	Y	Q,E,C,F
Longitude Resolution	longres	S	Y	Q,E,C,F
Geographic Coordinate Units	geogunit	S	Y	Q,E,C,F
Planar	planar			
Map Projection	mapproj			
Map Projection Name	mapprojn	S	Y	G,Q,E,C,F
