Keywords	keywords			
Theme	theme			
Theme Keyword Thesaurus	themekt	H	Y	C,F
Theme Keyword	themekey	H	Y	G,E,C,F
Place	place			
Place Keyword Thesaurus	placekt		Y	C,F
Place Keyword	placekey		Y	G,E,C,F
Stratum	stratum			
Stratum Keyword Thesaurus	stratkt		Y	C,F
Stratum Keyword	stratkey		Y	E,C,F
Temporal	temporal			
Temporal Keyword Thesaurus	tempkt		Y	C,F
Temporal Keyword	tempkey		Y	E,C,F
Access Constraints	accconst	H	Y	G,Q,E,C,F
Use Constraints	useconst	H	Y	G,Q,E,C,F
Point of Contact	ptcontac			
Contact Information	cntinfo			
See Contact Information below.			Y	Q,C,F
Browse Graphic	browse			
*  Browse Graphic Embedded	browseem			E,F
Browse Graphic File Name	browsen		Y	Q,E,C,F
Browse Graphic File Description	browsed		Y	Q,E,C,F
Browse Graphic File Type	browset		Y	Q,E,C,F
Dataset Credit	datacred		Y	Q,C,F
Security Information	secinfo			
Security Classification System	secsys		Y	C,F
Security Classification	secclass		Y	C,F
Security Handling Description	sechandle		Y	C,F
Native Dataset Environment	native	S	Y	E,C,F
* Native Dataset Format	natvform	S	Y	G,E,F
Cross Reference	crossref			
Citation Information	citeinfo			
See Citation Information below.			Y	C,F
Description of Association	assndesc			F
				
Data Quality Information	dataqual			
Attribute Accuracy	attracc			
Attribute Accuracy Report	attraccr		Y	Q,C,F
Quantitative Attribute Accuracy Assessment	qattracc			
Attribute Accuracy Value	attraccv		Y	C,F
Attribute Accuracy Explanation	attracce		Y	C,F
Logical Consistency Report	logic		Y	Q,C,F
Completeness Report	complete		Y	Q,C,F
