Publication Information	pubinfo			
Publication Place	pubplace		Y	G,Q,E,C,F
Publisher	publish		Y	Q,E,C,F
Other Citation Details	othercit		Y	Q,C,F
* Online Linkage	onlink	S4	Y	Q,E,C,F
Larger Work Citation	lworkcit			
Citation Information	citeinfo			
See Citation Information.			Y	Qc,C,F
				
Time Period Information	timeinfo			
Single Date/Time	sngdate			
Calendar Date	caldate	H1	Y	G,Q,E,C,F
Time of Day	time		Y	E,C,F
Multiple Dates/Times	mdattim			
Single Date/Time	sngdate			
Calendar Date	caldate		Y	G,Q,E,C,F
Time of Day	time		Y	E,C,F
Single Date/Time	sngdate			
Calendar Date	caldate		Y	G,Q,E,C,F
Time of Day	time		Y	E,C,F
Range of Dates/Times	rngdates			
Beginning Date	begdate		Y	G,Q,E,C,F
Beginning Time	begtime		Y	Q,E,C,F
End Date	enddate		Y	G,Q,E,C,F
End Time	endtime		Y	Q,E,C,F
				
Contact Information	cntinfo			
Contact Person Primary	cntperp			
Contact Person	cntper		Y	Q,E,C,F
Contact Organization	cntorg		Y	Q,E,C,F
Contact Organization Primary	cntorgp			
Contact Organization	cntper	H1	Y	Q,E,C,F
Contact Person	cntorg	H1	Y	Q,E,C,F
Contact Position	cntpos		Y	Q,C,F
Contact Address	cntaddr			
Address Type	addrtype	H	Y	E,C,F
Address	address		Y	Q,E,C,F
City	city	H	Y	Q,E,C,F
State or Province	state	H	Y	Q,E,C,F
Postal Code	postal	H	Y	Q,E,C,F
Country	country		Y	Q,E,C,F
Contact Voice Telephone	cntvoice	H	Y	Q,E,C,F
Contact TDD/TTY Telephone	cnttdd		Y	C,F
Contact Facsimile Telephone	cntfax		Y	Q,E,C,F
Contact Electronic Mail Address	cntemail		Y	Q,E,C,F
Hours of Service	hours		Y	Q,E,C,F
Contact Instructions	cntinst		Y	Q,E,C,F
