*    Quartic Authalic	quartic	S3		F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Winkel I	winkel1	S3		F
Standard Parallel	stdparll	S	Y	E,F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Winkel II	winkel	S3		F
Standard Parallel	stdparll	S	Y	E,F
Longitude of Central Meridian	longcm	S	Y	E,F
False Easting	feast	S	Y	E,F
False Northing	fnorth	S	Y	E,F
*    Other Projection Definition	otherprj	S3		F
Individual map projection parameters.  See Appendix C for production rules.		S	Y	Q,E,F
Map Projection Parameters	mapprojp	S4		F
Individual map projection parameters.  See Appendix C for production rules.		S4		E,F
Grid Coordinate System	gridsys			
Grid Coordinate System Name	gridsysn	S	Y	G,Q,E,C,F
Universal Transverse Mercator (UTM)	utm			
UTM Zone Number	utmzone	S	Y	Q,E,C,F
Transverse Mercator	transmerc			
See Transverse Mercator above		S	Y	Q,E,C,F
Universal Polar Stereographic (UPS)	ups			
UPS Zone Identifier	upszone		Y	Q,E,C,F
Polar Stereographic	polarst			
See Polar Stereographic above.			Y	Q,E,C,F
State Plane Coordinate System (SPCS)	spcs			
SPCS Zone Identifier	spcszone	S	Y	Q,E,C,F
Lambert Conformal Conic	lambertc			
See Lambert Conformal Conic  above.		S	Y	Q,E,C,F
Transverse Mercator	transmer			
See Transverse Mercator above.		S	Y	Q,E,C,F
Oblique Mercator	obqmerc			
See Oblique Mercator above.		S	Y	Q,E,C,F
Polyconic	polycon			
See Polyconic above.		S	Y	Q,E,C,F
