Entity and Attribute Information	eainfo			
Detailed Description	detail			
Entity Type	enttyp			
Entity Type Label	enttypl	S	Y	Q,E,C,F
Entity Type Type	enttypt	S	N	E,F
Entity Type Count	enttypc	S	N	E,F
Entity Type Definition	enttypd		Y	Q,E,C,F
Entity Type Definition Source	enttypds		Y	Q,E,C,F
Attribute	attr			
Attribute Label	attrlabl	S	Y	Q,E,C,F
Attribute Alias	attalias	S		E,F
Attribute Definition	attrdef	S4	Y	Q,E,C,F
Attribute Definition Source	attrdefs	S4	Y	Q,E,C,F
Attribute Type	attrtype	S	N	E,F
Attribute Width	attwidth	S	N	E,F
Attribute Precision	atprecis	S	N	E,F
Attribute Scale	attscale	S		E,F
Attribute Output Width	atoutwid	S		E,F
Attribute Number of Decimals	atnumdec	S		E,F
Attribute Indexed	atindex		N	F
Attribute Domain Values	attrdomv			
Enumerated Domain	edom			
Enumerated Domain Value	edomv		Y	Q,C,F
Enumerated Domain Value Definition	edomvd		Y	Q,C,F
Enumerated Domain Value Definition  Source	edomvds		Y	C,F
Range Domain	rdom			
Range Domain Minimum	rdommin		Y	Q,C,F
Range Domain Maximum	rdommax		Y	Q,C,F
Range Domain Mean	rdommean		Y	F
Range Domain Standard Deviation	rdomstdv		Y	F
Attribute Units of Measure	attrunit		Y	Q,C,F
Attribute Measurement Resolution	attrmres		Y	Q,C,F
Codeset Domain	codesetd			
Codeset Domain Name	codesetn		Y	Q,C,F
Codeset Domain Source	codesets		Y	Q,C,F
Unrepresentable Domain	udom	S4	Y	Q,C,F
Beginning Date of Attribute Values	begdatea		Y	C,F
Ending Date of Attribute Values	enddatea		Y	C,F
Attribute Value Accuracy Information	attrvai			
Attribute Value Accuracy	attrva		Y	C,F
Attribute Value Accuracy Explanation	attrvae		Y	C,F
Attribute Value Measurement Frequency	attrmfrq		Y	Q,C,F
